Year,Month,ProductID,Product Name,Price,Brand,Quality(%),Category,Quantity Sold,Initial Quantity,Quantity Left
2019,January,11,,,Apple,94,Accessories,,,
2019,January,12,,,Apple,87,Accessories,,,
2019,January,13,,,Bose,80,Accessories,,,
2019,January,14,,,Segate,92,Accessories,,,
2019,January,15,,,Sennheiser,80,Accessories,,,
2019,January,16,,,Sony,97,Accessories,,,
2019,January,21,,,HP,87,Laptops,,,
2019,January,22,,,Lenovo,91,Laptops,,,
2019,January,23,,,Lenovo,81,Laptops,,,
2019,January,24,,,Apple,95,Laptops,,,
2019,January,25,,,Apple,94,Laptops,,,
2019,January,26,,,Razer,85,Laptops,,,
2019,January,31,,,Apple,92,Smartphones,,,
2019,January,32,,,Apple,89,Smartphones,,,
2019,January,33,,,OnePlus,90,Smartphones,,,
2019,January,34,,,OnePlus,92,Smartphones,,,
2019,January,35,,,Samsung,79,Smartphones,,,
2019,January,36,,,Samsung,80,Smartphones,,,
2019,January,41,,,Canon,82,TV and Cams,,,
2019,January,42,,,LG,97,TV and Cams,,,
2019,January,43,,,Nikon,72,TV and Cams,,,
2019,January,44,,,OnePlus,87,TV and Cams,,,
2019,January,45,,,Samsung,84,TV and Cams,,,
2019,January,46,,,Sony,92,TV and Cams,,,
